fingerprint,priority,alert_type,url,message,recommended_action,source,metric,first_detected,last_seen,occurrences,status
b7dfddfe97aca18daee4e835,high,major_impression_drop,https://engineerwala.com/basic-car-door-parts/,Search impressions have dropped significantly,"Check indexing, ranking position, query relevance and recent content changes. Compare the page with competing results and restore or expand useful sections.",Search Console,Impressions 61 → 31 (-49%),2026-07-24T06:11:52Z,2026-09-04T08:09:52Z,9,open
5ae1e0af95504e6b6588dae3,high,major_impression_drop,https://engineerwala.com/basic-car-door-parts/,Search impressions dropped by at least 30%,"Check index status, ranking position, search demand and recent page changes.",Search Console,61 → 31 (-49%),2026-07-24T06:11:52Z,2026-09-04T08:09:52Z,8,open
8db44be68d12cc63da4a9297,high,major_impression_drop,https://engineerwala.com/car-door-lock-parts/,Search impressions have dropped significantly,"Check indexing, ranking position, query relevance and recent content changes. Compare the page with competing results and restore or expand useful sections.",Search Console,Impressions 74 → 8 (-89%),2026-08-31T09:56:17Z,2026-09-04T08:09:52Z,5,open
49b8aae428e39219a49e051f,high,major_impression_drop,https://engineerwala.com/car-door-lock-parts/,Search impressions dropped by at least 30%,"Check index status, ranking position, search demand and recent page changes.",Search Console,74 → 8 (-89%),2026-08-31T09:56:17Z,2026-09-04T08:09:52Z,5,open
ec1ef7f507be9c300aae1b8c,high,major_impression_drop,https://engineerwala.com/bank-1-vs-bank-2-meaning/,Search impressions have dropped significantly,"Check indexing, ranking position, query relevance and recent content changes. Compare the page with competing results and restore or expand useful sections.",Search Console,Impressions 23 → 0 (-100%),2026-07-27T06:50:35Z,2026-08-05T06:08:47Z,8,resolved
f3510dac9f310441e1e5b19f,high,major_impression_drop,https://engineerwala.com/bank-1-vs-bank-2-meaning/,Search impressions dropped by at least 30%,"Check index status, ranking position, search demand and recent page changes.",Search Console,62 → 8 (-87%),2026-07-27T06:50:35Z,2026-07-31T06:34:08Z,4,resolved
beb51b73a6102396e2c0ee99,high,major_impression_drop,https://engineerwala.com/fender-vs-quarter-panel/,Search impressions have dropped significantly,"Check indexing, ranking position, query relevance and recent content changes. Compare the page with competing results and restore or expand useful sections.",Search Console,Impressions 20 → 0 (-100%),2026-08-25T04:19:55Z,2026-09-01T08:51:09Z,8,resolved
42f6f95b2d3ccac0bf2fd16c,high,major_impression_drop,https://engineerwala.com/oil-in-spark-plug-well/,Search impressions have dropped significantly,"Check indexing, ranking position, query relevance and recent content changes. Compare the page with competing results and restore or expand useful sections.",Search Console,Impressions 48 → 21 (-56%),2026-07-20T06:34:04Z,2026-08-06T06:11:42Z,9,resolved
a14c3d8a391ab5294a5d5cd6,high,major_impression_drop,https://engineerwala.com/oil-in-spark-plug-well/,Search impressions dropped by at least 30%,"Check index status, ranking position, search demand and recent page changes.",Search Console,54 → 28 (-48%),2026-07-20T06:34:04Z,2026-07-26T06:23:38Z,7,resolved
b8a5e4593ae40e75d7e52e60,high,major_impression_drop,https://engineerwala.com/what-is-a-sway-bar/,Search impressions have dropped significantly,"Check indexing, ranking position, query relevance and recent content changes. Compare the page with competing results and restore or expand useful sections.",Search Console,Impressions 20 → 0 (-100%),2026-08-23T04:08:46Z,2026-08-29T10:15:02Z,7,resolved
114f37eb0b8a9b27ef7be890,high,major_impression_drop,https://engineerwala.com/which-side-is-the-brake/,Search impressions have dropped significantly,"Check indexing, ranking position, query relevance and recent content changes. Compare the page with competing results and restore or expand useful sections.",Search Console,Impressions 66 → 27 (-59%),2026-07-18T05:42:51Z,2026-08-18T04:07:55Z,14,resolved
7db6f586672e54d91b75de5b,high,major_impression_drop,https://engineerwala.com/which-side-is-the-brake/,Search impressions dropped by at least 30%,"Check index status, ranking position, search demand and recent page changes.",Search Console,66 → 27 (-59%),2026-07-18T05:42:51Z,2026-08-18T04:07:55Z,14,resolved
