detected_at,url,change_type,field,old_value,new_value,change_summary
2026-07-23T06:12:43Z,https://engineerwala.com/what-is-a-car-transmission/,New Page,url,,https://engineerwala.com/what-is-a-car-transmission/,New URL website audit mein detect hui.
2026-07-23T06:12:43Z,https://engineerwala.com/,Updated,word_count,438,440,Word count changed
2026-07-23T06:12:43Z,https://engineerwala.com/basic-car-interior-parts-name/,Updated,internal_links_count,14,15,Internal links changed
2026-07-23T06:12:43Z,https://engineerwala.com/car-engine-parts/,Updated,word_count,6174,6203,Word count changed
2026-07-23T06:12:43Z,https://engineerwala.com/category/automobile/,Updated,word_count,435,437,Word count changed
2026-07-23T06:12:43Z,https://engineerwala.com/category/home-page/,Updated,word_count,465,463,Word count changed
2026-07-23T06:12:43Z,https://engineerwala.com/how-to-safely-disconnect-a-car-battery/,Updated,word_count,2264,2276,Word count changed
2026-07-23T06:12:43Z,https://engineerwala.com/how-to-safely-disconnect-a-car-battery/,Updated,internal_links_count,16,17,Internal links changed
2026-07-23T06:12:43Z,https://engineerwala.com/parts-of-a-car/,Updated,word_count,5274,5292,Word count changed
2026-07-23T06:12:43Z,https://engineerwala.com/which-side-is-the-brake/,Updated,word_count,2455,2474,Word count changed
