page,current_clicks,previous_clicks,clicks_change,clicks_change_percent,current_impressions,previous_impressions,impressions_change,impressions_change_percent,current_ctr_percent,previous_ctr_percent,ctr_change_points,current_position,previous_position,position_change
https://engineerwala.com/which-side-is-the-brake/,0.0,0.0,0.0,,47.0,70.0,-23.0,-32.86,0.0,0.0,0.0,1.13,4.26,-3.13
https://engineerwala.com/basic-car-door-parts/,0.0,0.0,0.0,,23.0,36.0,-13.0,-36.11,0.0,0.0,0.0,8.65,18.61,-9.96
https://engineerwala.com/oil-in-spark-plug-well/,0.0,0.0,0.0,,11.0,11.0,0.0,0.0,0.0,0.0,0.0,33.64,53.27,-19.64
https://engineerwala.com/types-of-cars/,0.0,0.0,0.0,,11.0,10.0,1.0,10.0,0.0,0.0,0.0,1.0,12.8,-11.8
https://engineerwala.com/what-does-esp-bas-light-mean/,0.0,0.0,0.0,,10.0,8.0,2.0,25.0,0.0,0.0,0.0,41.2,43.62,-2.42
https://engineerwala.com/car-key-stuck-in-ignition/,0.0,0.0,0.0,,8.0,0.0,8.0,,0.0,0.0,0.0,38.62,0.0,38.62
https://engineerwala.com/cv-joint-noise-when-driving-straight/,0.0,0.0,0.0,,8.0,0.0,8.0,,0.0,0.0,0.0,39.62,0.0,39.62
https://engineerwala.com/airbag-warning-light/,0.0,0.0,0.0,,7.0,6.0,1.0,16.67,0.0,0.0,0.0,77.57,72.5,5.07
https://engineerwala.com/noise-when-turning-steering-wheel/,0.0,0.0,0.0,,7.0,0.0,7.0,,0.0,0.0,0.0,37.29,0.0,37.29
https://engineerwala.com/manual-vs-automatic-transmission-differences/,0.0,0.0,0.0,,5.0,0.0,5.0,,0.0,0.0,0.0,34.8,0.0,34.8
https://engineerwala.com/improve-car-fuel-efficiency/,0.0,0.0,0.0,,4.0,0.0,4.0,,0.0,0.0,0.0,2.75,0.0,2.75
https://engineerwala.com/,0.0,0.0,0.0,,3.0,0.0,3.0,,0.0,0.0,0.0,1.0,0.0,1.0
https://engineerwala.com/about-us/,0.0,0.0,0.0,,3.0,0.0,3.0,,0.0,0.0,0.0,8.0,0.0,8.0
https://engineerwala.com/alternator-overcharging/,0.0,0.0,0.0,,3.0,0.0,3.0,,0.0,0.0,0.0,4.0,0.0,4.0
https://engineerwala.com/contact-us/,0.0,0.0,0.0,,3.0,0.0,3.0,,0.0,0.0,0.0,7.0,0.0,7.0
https://engineerwala.com/disclaimer/,0.0,0.0,0.0,,3.0,0.0,3.0,,0.0,0.0,0.0,2.0,0.0,2.0
https://engineerwala.com/engine-misfire-symptoms/,0.0,0.0,0.0,,3.0,0.0,3.0,,0.0,0.0,0.0,10.0,0.0,10.0
https://engineerwala.com/milage-calculator/,0.0,0.0,0.0,,3.0,0.0,3.0,,0.0,0.0,0.0,6.0,0.0,6.0
https://engineerwala.com/page/5/,0.0,0.0,0.0,,3.0,0.0,3.0,,0.0,0.0,0.0,5.0,0.0,5.0
https://engineerwala.com/starter-relay-symptoms/,0.0,0.0,0.0,,3.0,3.0,0.0,0.0,0.0,0.0,0.0,9.0,57.67,-48.67
https://engineerwala.com/car-body-parts/,0.0,0.0,0.0,,2.0,0.0,2.0,,0.0,0.0,0.0,1.0,0.0,1.0
https://engineerwala.com/bad-ignition-coil-symptoms/,0.0,0.0,0.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,74.0,-63.0
https://engineerwala.com/bad-spark-plug-symptoms/,0.0,0.0,0.0,,1.0,0.0,1.0,,0.0,0.0,0.0,4.0,0.0,4.0
https://engineerwala.com/battery-dead-symptoms/,0.0,0.0,0.0,,1.0,0.0,1.0,,0.0,0.0,0.0,77.0,0.0,77.0
https://engineerwala.com/brake-pedal-soft-causes/,0.0,0.0,0.0,,1.0,2.0,-1.0,-50.0,0.0,0.0,0.0,1.0,86.0,-85.0
https://engineerwala.com/car-squeaks-when-reversing/,0.0,0.0,0.0,,1.0,2.0,-1.0,-50.0,0.0,0.0,0.0,10.0,63.0,-53.0
https://engineerwala.com/engine-knocking-when-accelerating/,0.0,0.0,0.0,,1.0,0.0,1.0,,0.0,0.0,0.0,1.0,0.0,1.0
https://engineerwala.com/parts-of-a-car/,0.0,0.0,0.0,,1.0,0.0,1.0,,0.0,0.0,0.0,5.0,0.0,5.0
https://engineerwala.com/thermostat-stuck-closed-symptoms/,0.0,0.0,0.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,52.0,-30.0
https://engineerwala.com/bad-rear-differential-symptoms/,0.0,0.0,0.0,,0.0,1.0,-1.0,-100.0,0.0,0.0,0.0,0.0,3.0,-3.0
https://engineerwala.com/basic-car-interior-parts-name/,0.0,0.0,0.0,,0.0,1.0,-1.0,-100.0,0.0,0.0,0.0,0.0,54.0,-54.0
https://engineerwala.com/brake-pedal-hard-causes/,0.0,0.0,0.0,,0.0,1.0,-1.0,-100.0,0.0,0.0,0.0,0.0,77.0,-77.0
https://engineerwala.com/car-door-lock-parts/,0.0,0.0,0.0,,0.0,34.0,-34.0,-100.0,0.0,0.0,0.0,0.0,3.53,-3.53
https://engineerwala.com/car-not-starting/,0.0,0.0,0.0,,0.0,1.0,-1.0,-100.0,0.0,0.0,0.0,0.0,80.0,-80.0
https://engineerwala.com/car-wheel-parts/,0.0,0.0,0.0,,0.0,13.0,-13.0,-100.0,0.0,0.0,0.0,0.0,1.0,-1.0
https://engineerwala.com/crankshaft-position-sensor/,0.0,0.0,0.0,,0.0,1.0,-1.0,-100.0,0.0,0.0,0.0,0.0,1.0,-1.0
https://engineerwala.com/what-is-a-cvt-transmission/,0.0,0.0,0.0,,0.0,1.0,-1.0,-100.0,0.0,0.0,0.0,0.0,2.0,-2.0
